FileRoot,ScanNumber,ScanTime,TIC
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=102,0.341400794,26597550.99
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=104,0.346467459,27025956.05
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=106,0.351506863,28892377.61
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=107,0.355342913,27590815.81
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=108,0.359195807,25888607.44
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=109,0.363046609,24340996.28
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=110,0.367085133,28824177.85
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=111,0.370764107,26415002.87
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=112,0.374615213,27152735.82
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=113,0.37846336,27963398.57
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=114,0.382327252,25891122.13
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=116,0.387428878,28416944.69
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=117,0.391183219,26580751.23
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=118,0.395033225,24778970.36
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=119,0.39905978,26518360.35
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=120,0.402912658,26409988.2
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=121,0.406763867,28541454.8
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=122,0.410463323,27814665.42
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=123,0.414310242,26269174.88
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=124,0.418180272,26694511.41
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=125,0.422036443,25573916.52
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=126,0.426069271,27013322.92
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=127,0.429918326,27446390.32
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=128,0.433772113,27820367.61
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=129,0.437455104,27392073.67
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=130,0.441301118,26720336.05
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=131,0.445145751,25966777.55
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=132,0.448998971,25796345.59
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=133,0.452865531,26388149.71
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=134,0.456714755,23465835.39
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=135,0.460921727,26052920.12
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=136,0.464775808,26879116.42
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=137,0.468628196,27270197.8
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=138,0.472471833,26638232.1
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=139,0.476318025,25492140.56
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=140,0.480168741,26558001.01
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=141,0.484017521,27474272.37
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=142,0.487883055,26995328.94
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=143,0.491723319,25789929.06
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=144,0.49557699,25261497.67
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=145,0.499421608,25749460.93
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=146,0.503268765,26465704.44
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=147,0.507112642,26952762.53
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=148,0.51078813,25589361.25
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=149,0.51463261,26638478.73
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=150,0.518358346,25918724.04
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=152,0.523390329,26665909.44
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=153,0.527187118,25314756.64
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=154,0.531041823,26026061.73
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=155,0.534897874,25924738.22
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=157,0.539931992,26156410.32
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=158,0.543732862,24114655.17
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=159,0.547585609,26851969.99
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=160,0.5512726,23894059.15
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=161,0.555332314,25529663.49
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=162,0.559178442,25984162.66
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=163,0.563030213,25407597.51
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=164,0.566874999,25385738.97
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=165,0.570735065,24738894.64
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=167,0.575801288,25900069.35
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=168,0.579609769,25130719.19
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=169,0.583457207,26765917.5
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=170,0.587147263,26628575.85
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=171,0.590823376,27165265.93
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=172,0.594669537,25745659.46
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=173,0.598511933,25086976.14
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=174,0.602368651,25664017.07
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=175,0.606205122,24697914.92
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=176,0.610052909,28386181.68
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=177,0.613735315,24927989.23
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=179,0.618799843,25834341.27
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=181,0.623894886,24940795.01
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=182,0.627704794,24809101.61
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=183,0.631541407,24702441.82
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=184,0.635389764,24787597.73
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=185,0.63923343,24506701.49
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=186,0.643077891,24154121.2
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=187,0.646922914,25253223.69
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=188,0.650767404,25508979.46
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=189,0.654632009,25895487.61
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=190,0.658500501,24977138.11
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=192,0.663562117,25010313.79
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=193,0.667380708,24371040.89
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=195,0.672451395,26493946.12
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=196,0.67624751,24689666.27
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=197,0.680089922,24524024.93
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=198,0.683934054,25217756.92
