file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,modification,usi,comments
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1761,6.49249914933333,186148.48495483398,407.69953744075286,2,-499.2289251184942,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1763,6.4975091888,152873.85076904297,547.3991800324624,2,-219.8296399350752,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1772,6.52940181786667,218586.46520996094,407.207634192251,2,-500.2127316154979,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1774,6.53436708346667,142745.11767578125,434.88182025462197,2,-444.864359490756,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1775,6.5367197256,90812.61743164062,586.7558028716853,2,-141.1163942566293,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1780,6.55318901146667,55407.569427490234,405.29946948480085,2,-504.0290610303982,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1781,6.55554400186667,239502.39068603516,435.2207551644296,2,-444.18648967114075,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1787,6.57584119973333,196958.20721435547,551.2372054802244,2,-212.1535890395512,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1790,6.58483140213333,549503.3099975586,471.7288702024369,2,-371.17025959512614,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1791,6.58729887253333,95712.92498779297,423.254638671875,5,801.6451933593751,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1794,6.5960262128,246095.466796875,415.0361105665048,2,-484.5557788669903,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1795,6.598378004,149953.06231689453,490.70251212517525,2,-333.22297574964944,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1796,6.60066577893333,83381.99694824219,769.9917602539062,2,225.35552050781257,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1799,6.60945585466667,176840.52838134766,478.73661182621146,2,-357.154776347577,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1800,6.61180712373333,421292.21368408203,428.2128234018577,2,-458.20235319628455,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1801,6.61408562213333,114487.21673583984,483.70781028731164,2,-347.21237942537664,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1802,6.616365712,318452.3889160156,442.726487630705,2,-429.17502473858997,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1803,6.61873844693333,1334957.1868286133,520.6887604827828,2,-273.2504790344344,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1805,6.6236263344,1435050.1731872559,428.8906142675198,2,-456.8467714649603,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1809,6.6363721336,513918.7990722656,443.21175738291583,2,-428.20448523416826,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1814,6.65301641386667,750383.7230224609,443.71036659928546,2,-427.207266801429,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1817,6.661890916,210402.92333984375,456.6996441525401,2,-401.22871169491975,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1820,6.67082760933333,1352417.1170654297,428.70471183137136,2,-457.2185763372572,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1826,6.69119969653333,182946.8953857422,500.2156888581275,2,-314.1966222837449,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1830,6.70397810213333,196310.75115966797,542.2737668830765,2,-230.0804662338469,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1833,6.7128263168,110692.42321777344,484.21448358606375,2,-346.19903282787243,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1834,6.71518073493333,240182.88696289062,500.73168859415557,2,-313.1646228116888,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1837,6.72400589706667,319880.0095214844,472.2209646562797,2,-370.1860706874405,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1838,6.72635732986667,259855.46350097656,435.71259569739186,2,-443.2028086052162,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1848,6.76188271493333,211286.4194946289,479.2286066765412,2,-356.1707866469176,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1851,6.77075792933333,170157.89129638672,456.21956296282025,3,54.03068888846087,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1853,6.77573739466667,225578.01919555664,436.8787503426402,2,-440.8704993147195,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1856,6.784587864,135690.6199951172,507.24716829981816,2,-300.1336634003636,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1857,6.78706479653333,138326.8380126953,436.7020206105549,2,-441.22395877889016,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1865,6.8152498864,133190.85717773438,499.7418755629985,2,-315.144248874003,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1866,6.81761088506667,494209.16119384766,536.2501822376279,2,-242.12763552474416,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1869,6.82654458453333,98271.66107177734,492.7342514446191,2,-329.1594971107618,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1870,6.82889950853333,107721.95751953125,467.7265244881011,2,-379.1749510237977,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1873,6.8376025264,125033.26916503906,548.2296254074503,2,-218.1687491850994,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1874,6.83995351733333,233427.9839477539,555.223933425751,2,-204.18013314849782,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1875,6.8422373872,115672.78436279297,585.2109546769133,2,-144.20609064617338,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1877,6.847150804,113117.38549804688,568.7116342539675,2,-177.20473149206487,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1878,6.84951784853333,189405.90524291992,564.7098465770613,2,-185.20830684587736,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1879,6.851904872,128544.18035888672,562.7062800209815,2,-189.215439958037,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1881,6.85669390613333,110880.67391967773,575.2110262674469,2,-164.2059474651062,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1882,6.85904588586667,222229.64239501953,547.2408540967828,2,-220.14629180643442,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1883,6.86132946,154528.72827148438,558.2087835759218,2,-198.21043284815642,,,,
