FileRoot,ScanNumber,ScanTime,TIC
250402_mEclipse_QC_ncORF-055,75,0.413579072533333,1157926.066772461
250402_mEclipse_QC_ncORF-055,76,0.419151517866667,1110543.7647094727
250402_mEclipse_QC_ncORF-055,77,0.424723620266667,1095061.8446044922
250402_mEclipse_QC_ncORF-055,78,0.430286193333333,1083691.3099365234
250402_mEclipse_QC_ncORF-055,79,0.435878656533333,1002328.9225463867
250402_mEclipse_QC_ncORF-055,80,0.441451597066667,1027049.999206543
250402_mEclipse_QC_ncORF-055,81,0.4470205224,1005063.2316894531
250402_mEclipse_QC_ncORF-055,82,0.4525846008,933880.9638671875
250402_mEclipse_QC_ncORF-055,83,0.458137741866667,1044128.1370849609
250402_mEclipse_QC_ncORF-055,84,0.463702347466667,976100.1377563477
